Resource,NENG_Rest_conventional_steam_coal_1,NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest_nuclear_1,NY_Z_A_natural_gas_fired_combined_cycle_1,NY_Z_A_natural_gas_fired_combustion_turbine_1,NY_Z_A_natural_gas_steam_turbine_1,NY_Z_B_natural_gas_fired_combined_cycle_1,NY_Z_B_natural_gas_fired_combustion_turbine_1,NY_Z_B_natural_gas_steam_turbine_1,NY_Z_B_nuclear_1,NY_Z_C&E_natural_gas_fired_combined_cycle_1,NY_Z_C&E_natural_gas_steam_turbine_1,NY_Z_C&E_nuclear_1,NY_Z_D_natural_gas_fired_combined_cycle_1,NY_Z_D_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combined_cycle_1,NY_Z_F_natural_gas_fired_combined_cycle_2,NY_Z_F_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combined_cycle_1,NY_Z_G-I_natural_gas_fired_combined_cycle_2,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,NY_Z_J_natural_gas_fired_combined_cycle_1,NY_Z_J_natural_gas_fired_combined_cycle_2,NY_Z_J_natural_gas_fired_combustion_turbine_1,NY_Z_J_natural_gas_fired_combustion_turbine_2,NY_Z_K_natural_gas_fired_combined_cycle_1,NY_Z_K_natural_gas_fired_combined_cycle_2,NY_Z_K_natural_gas_fired_combustion_turbine_1,NY_Z_K_natural_gas_fired_combustion_turbine_2,PJM_EMAC_conventional_steam_coal_1,PJM_EMAC_natural_gas_fired_combined_cycle_1,PJM_EMAC_natural_gas_fired_combined_cycle_2,PJM_EMAC_natural_gas_fired_combined_cycle_3,PJM_EMAC_natural_gas_fired_combustion_turbine_1,PJM_EMAC_natural_gas_fired_combustion_turbine_2,PJM_EMAC_natural_gas_steam_turbine_1,PJM_EMAC_nuclear_1,PJM_EMAC_nuclear_2,PJM_Rest_conventional_steam_coal_1,PJM_Rest_natural_gas_fired_combined_cycle_1,PJM_Rest_natural_gas_fired_combined_cycle_2,PJM_Rest_natural_gas_fired_combustion_turbine_1,PJM_Rest_natural_gas_fired_combustion_turbine_2,PJM_Rest_natural_gas_fired_combustion_turbine_3,PJM_Rest_natural_gas_fired_combustion_turbine_4,PJM_Rest_nuclear_1,NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest_naturalgas_ctavgcf_moderate_0,NENG_Rest_nuclear_nuclear_moderate_0,NENG_Rest_naturalgas_ccs100_moderate_0,NY_Z_A_naturalgas_ccavgcf_moderate_0,NY_Z_A_naturalgas_ctavgcf_moderate_0,NY_Z_A_nuclear_nuclear_moderate_0,NY_Z_A_naturalgas_ccs100_moderate_0,NY_Z_B_naturalgas_ccavgcf_moderate_0,NY_Z_B_naturalgas_ctavgcf_moderate_0,NY_Z_B_nuclear_nuclear_moderate_0,NY_Z_B_naturalgas_ccs100_moderate_0,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NY_Z_C&E_nuclear_nuclear_moderate_0,NY_Z_C&E_naturalgas_ccs100_moderate_0,NY_Z_D_naturalgas_ccavgcf_moderate_0,NY_Z_D_naturalgas_ctavgcf_moderate_0,NY_Z_D_nuclear_nuclear_moderate_0,NY_Z_D_naturalgas_ccs100_moderate_0,NY_Z_F_naturalgas_ccavgcf_moderate_0,NY_Z_F_naturalgas_ctavgcf_moderate_0,NY_Z_F_nuclear_nuclear_moderate_0,NY_Z_F_naturalgas_ccs100_moderate_0,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NY_Z_G-I_nuclear_nuclear_moderate_0,NY_Z_G-I_naturalgas_ccs100_moderate_0,NY_Z_J_naturalgas_ccavgcf_moderate_0,NY_Z_J_naturalgas_ctavgcf_moderate_0,NY_Z_J_nuclear_nuclear_moderate_0,NY_Z_J_naturalgas_ccs100_moderate_0,NY_Z_K_naturalgas_ccavgcf_moderate_0,NY_Z_K_naturalgas_ctavgcf_moderate_0,NY_Z_K_nuclear_nuclear_moderate_0,NY_Z_K_naturalgas_ccs100_moderate_0,PJM_EMAC_naturalgas_ccavgcf_moderate_0,PJM_EMAC_naturalgas_ctavgcf_moderate_0,PJM_EMAC_nuclear_nuclear_moderate_0,PJM_EMAC_naturalgas_ccs100_moderate_0,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,PJM_Rest_naturalgas_ccavgcf_moderate_0,PJM_Rest_naturalgas_ctavgcf_moderate_0,PJM_Rest_nuclear_nuclear_moderate_0,PJM_Rest_naturalgas_ccs100_moderate_0
t493,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,6117.84,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t494,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,6117.84,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.78592684770499,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t495,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,6117.84,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.78592684770499,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t496,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,6117.84,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.78592684770499,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t497,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,6117.84,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t498,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,9176.76,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t499,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,26273.565,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,12235.68,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t500,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,9176.76,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t501,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,19392.98125297129,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,57532.490999999995,12235.68,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t502,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,9176.76,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t503,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,12235.68,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t504,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,9176.76,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,1783.673999999999,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t505,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,66852.96722714014,6117.84,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,213328.62391811676,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,3567.347999999998,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t506,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,47675.470227140126,9176.76,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,205459.9278678754,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,3567.347999999998,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t507,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,66852.96722714014,9176.76,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,196826.4509867907,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,3567.347999999998,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t508,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769816,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,47675.470227140126,6117.84,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,178115.27399999998,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,3567.347999999998,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
t509,-6.164631928645006e-13,6.518991603707423e-13,-4.947004949778508e-12,-1.0417725918831441e-13,3.60357730219115e-13,17515.71,0.0,0.0,53.78592684769714,0.0,0.0,0.0,3034.3859999999995,-5.550093418477661e-13,0.0,14495.939999999999,0.0,0.0,1.6677965207912354e-12,5.782864678054025e-13,0.0,0.0,0.0,0.0,25.11,5.024316922269863e-13,-1.8281846866099543e-12,-8.886950937056813e-13,-7.567205164284576e-13,0.0,0.0,-5.36657759388102e-13,-7.284757648764069e-13,0.0,1.480402193428984e-12,1.072436945006381e-11,4.937674766836153e-13,0.0,-3.066122088773013e-12,6.978359690101854e-13,38354.994,9176.76,-5.5486502402248205e-12,-2.3498042509909446e-12,-5.02680720745491e-12,2.255111289601744e-13,2.612061411222613e-12,0.0,-2.527454760386665e-13,118743.51599999999,53.78592684770248,0.0,0.0,30921.48838963747,0.0,0.0,0.0,0.0,53.785926847697155,0.0,0.0,0.0,53.785926847697134,0.0,0.0,0.0,53.78592684769717,0.0,0.0,0.0,53.78592684769618,0.0,0.0,0.0,28.67592684769718,0.0,3567.347999999998,39533.880200629545,51.91299179712168,0.0,0.0,812.484028337603,53.16446100219214,0.0,0.0,0.0,53.785926847705,0.0,0.0,32710.778436147975,0.0,53.785926847712204,0.0,0.0,243951.0121431405
